Title_Item,Price,Original Price,description,time_of_published,status
Michael kors pull over,85.0,777.0,Michael kors pullover cape new never been worn really nice to wear with jeans are anything  really cute 👍❤️,2022-01-30T10:48:28-08:00,available
Rock Revival jeans,45.0,777.0,Rock Revival jeans good used condition very lite Waite all the studs and stones are there zipper works great 6 pockets,2021-09-04T22:41:32-07:00,available
STYLE & CO JEANS,65.0,777.0,STYLE & CO BOYFRIEND JEANS BEAUTIFUL DESIGN GREAT CONDITION WORN A  FUE TIMES 👍,2021-03-10T13:05:01-08:00,available
Gap Leather Jeans,125.0,777.0,Gap Leather Jeans 👖 never worn Boot cut they are lined and Beautiful Leather has four pockets ❤️,2020-10-15T22:49:02-07:00,available
Loft Jeans,59.0,777.0,Loft Jeans new never worn two pockets in the front and two in the back  they are really cute,2021-03-05T12:50:08-08:00,available
Coach  Bag,125.0,777.0,Coach Bag new  never used I lost the strap   But it’s new hold nice size for all your needs  perfect condition,2021-06-06T13:08:32-07:00,available
Express jeans,20.0,75.0,Express jeans nice used condition very comfortable face stretch good for every day use,2021-07-12T12:26:21-07:00,available
American Eagle jean,40.0,777.0,American Eagle 🦅 Jeans great condition like new but are used high rise Jenkins,2021-02-05T15:33:39-08:00,available
Vince camuto pants,65.0,125.0,Vince camuto pants new never worn still have tags very contrable they stretch,2021-04-15T14:07:59-07:00,available
AMETHYST JEANS,75.0,777.0,AMETHYST JEANS LIKE  NEW CONDITION REALLY  A NICE  PAIR OF JEANS ALL THE STONES ARE ALL  THERE AND ZIPPER WORKS GREAT  PLUS THEY STRETCH,2021-07-12T11:58:19-07:00,available
Judy Blue  Jeans,49.0,777.0,Judy Blue  Jeans good used condition really cute cropped fit,2021-05-02T18:01:19-07:00,available
Almost Famous  crop jeans,58.0,777.0,Almost Famous crop jeans new  never used  they have stretch really cute,2021-04-05T18:58:37-07:00,available
RED RIVET JEANS,125.0,777.0,RED RIVED JEANS REALLY CUTE BEAUTIFUL DESIGN NEW NEVER WORN   GREAT SHAPE   HAVE STRETCH,2021-03-17T13:09:00-07:00,available
"Chico,s Jeans",60.0,777.0,"Chico,s Girlfriend  slim Leg Ankle  so slimming Jeans  never worn  has stretch .",2021-03-10T12:44:37-08:00,available
Celebrity pink 💥 Jeans,55.0,777.0,Celebrity pink jeans new condition only been worn a few times really lite Waite great for summer great color will go with anything .,2021-04-17T13:24:07-07:00,available
Rubber Band stretch jeans,75.0,777.0,Rubber Band Stretch Jeans  new Condition only worn a fue times  really nice looking on and contrable,2021-04-05T20:19:37-07:00,available
Loft jeans,65.0,777.0,Loft jeans great used condition lots of detail on the side of the jeans  these jeans are really nice,2021-09-04T23:21:43-07:00,available
Katy Boyfriend Levies  kut,65.0,777.0,Katy Boyfriend  kut Jeans  never worn new condition they have stretch and are contrable,2021-01-20T14:32:44-08:00,available
KUT JEANS,55.0,777.0,KUT JEANS EXCELLENT   CONDITION LIKE NEW ONLY WORN A FUE TIMES 👖,2021-03-10T12:54:15-08:00,available
Rock & Republic  Jeans,55.0,777.0,Rock & Republican Jeans new Condition never worn they stretch  really cute and very lite Waite,2021-04-07T17:56:38-07:00,available
LEVIE STRAUSS JEANS,75.0,777.0,LEVI STRAUSS JEANS GOOD USED CONDITION REALLY CUTE WITH FRINGE   V I n t a g e,2021-09-11T21:06:39-07:00,available
SILVER JEANS,55.0,777.0,SILVER FLARE LEG JEANS  HAS  ONE  pocket on the leg +4 other pockets and one small one in front really a cute pair of jeans good used condition,2021-06-25T14:44:23-07:00,available
Gstar jeans,65.0,777.0,Gstar Raw Denim jeans very good used condition the zipper all work great shape  and they stretch,2021-09-29T12:53:47-07:00,available
MADE IN I TALY JEANS,85.0,777.0,made in Italy jeans  good used condition they have stretch two front pockets and two back  they are made in Italy 🇮🇹 Italian  Denin has silver going down the sides  zipper works great  thanks for looking.,2021-08-04T21:59:35-07:00,available
Silver jeans,65.0,777.0,Silver jeans new never worn and they stretch really cute,2021-09-04T23:10:42-07:00,available
Miss me jeans,65.0,777.0,Miss me jeans 👖 excellent condition only used a few times,2020-09-11T14:16:25-07:00,available
Diesel CLush Jeans,125.0,777.0,Diesel CLush  Jeans made in Italy 🇮🇹 new Condition very nice,2021-07-12T12:17:51-07:00,available
American Eagle 🦅 Jeans,45.0,125.0,American Eagle  hi  rise jeggins good used condition  has stretch comes from smoke free home,2021-01-27T22:16:31-08:00,available
Miss me jeans Bermudez,65.0,777.0,Miss me jeans nice used condition only been worn a fue times all the studs and stones are there the zipper works great has angels wings on the pockets  sequence  nice,2021-08-24T20:41:36-07:00,available
America Eagle 🦅 Jeans,35.0,777.0,American Eagle 🦅 Jeans good used condition have stretch really cute on,2021-05-19T13:58:19-07:00,available
Miss me jeans,58.0,777.0,Miss me jeans nice used condition there are two studs missing on the back label witch I pointed out in the picture    but not really noticeable but I wanted to point that out  thanks for looking .,2021-03-28T00:51:47-07:00,available
Miss me jeans,49.0,777.0,Miss me jeans 👖 signature cropped nice used condition comes from a smoke free home 🏡 zipper works all the buttons and rhinestones are all there has some stretch  really cute out can wear them turned up are straight cute either way.,2021-01-27T21:55:54-08:00,available
H&M  Jeans,45.0,777.0,H&M’s Jeans great condition used A fue times really contrable they have stretch.,2021-02-26T14:36:37-08:00,available
Miss me jeans,65.0,777.0,Miss me jeans 👖 really good shape no rips  used but like new.,2020-09-11T13:26:01-07:00,available
BCBG Leather Paints,125.0,777.0,BCBG LEATHER PAINTS VERY SOFT LEATHER Designers LiKE  New I HAVE Never WORN REALLY CONTRABLE   THANKS FOR  Looking.,2020-10-02T00:48:00-07:00,available
Gap 1969 jeans,65.0,777.0,Gap 1969 true skinny Ankle jeans new never worn have stretch and not heavy,2021-04-17T13:34:23-07:00,available
Rock Revival jeans,75.0,777.0,Rock Revival jeans  never worn just tryed on they are a really nice pair nice color  Burgundy very contrable and cute,2021-04-16T16:33:59-07:00,available
American Eagle jeans,83.0,777.0,American Eagle HI - Rise jogging new never worn  supper cute,2021-09-04T13:37:40-07:00,available
Miss me jeans 👖,68.0,777.0,Miss me jeans new never worn they stretch really pretty color,2021-04-07T18:37:21-07:00,available
Miss me jeans,45.0,777.0,Miss me jeans 👖 excellent used condition all the stones and studs are there they also have stretch really cute,2021-04-08T16:17:52-07:00,available
Uptomelsm  Jeans,125.0,777.0,UPTOMEISM JEANS  NEW CONDITION BEAUTIFUL DESIGN THEY ARE ONE Of A KIND THEY STRETCH   HAS A SHAPED WAIST   THESE JEANS  ARE SUPPER CUTE,2021-08-04T22:39:08-07:00,available
Articles of society jeans,35.0,777.0,Articles of society jeans good used condition really cute,2021-02-08T10:50:22-08:00,available
Duchesse jeans Vintage,75.0,777.0,Duchesse jeans vintage I can’t see a size but I would say they are about a midsize they have some stretch  but are really cute they have the flair legs and are designed on the bottom two pockets in the front and two in the back  they are in good condition for their age zipper works great these are not hi rise thanks for looking,2021-08-19T13:30:11-07:00,available
Pink victory secret shorts,57.0,777.0,Pink victory secret shorts like new condition only been worn a few times really nice pair of shorts,2021-04-14T16:44:14-07:00,available
Lucky Brand Jeans,55.0,777.0,Lucky Brand Jeans never worn 14/32 regular very nice,2021-01-19T11:49:12-08:00,available
Free People Jeans,65.0,777.0,Free People Jeans 👖 really cute and the design is so different hardly used in great shape they have some stretch so they are contrable,2021-07-28T15:01:04-07:00,available
Miss me jeans,65.0,777.0,Miss me jeans excellent used condition all the studs and stones are there and the zipper works great 👍,2021-04-16T16:10:26-07:00,available
Guess jeans,50.0,777.0,Guess jeans new condition have stretch very contrable beautiful color,2021-05-19T13:37:59-07:00,available
COPY - Free People bellbottomJeans,65.0,777.0,Free people bell bottom jeans new condition very comfortable they stretch can wear them anytime of the year very cute they have the big flair  to them 😊,2022-04-22T12:49:00-07:00,available
Free People Levies,75.0,777.0,Free People Levies good condition really cute and contrable they stretch and are lite Waite,2020-10-12T23:23:50-07:00,available
Free people button up jeans,75.0,777.0,Free people button up jeans new never worn very comfortable,2020-09-25T12:35:30-07:00,available
Free People Jeans,55.0,777.0,Free People Jeans used condition but very nice,2021-07-12T13:36:43-07:00,available
Calvin Klein Jeans,55.0,777.0,Calvin Klein ultimate skinny jeans 👖 new Condition never worn has stretch very contrable. .,2021-02-08T11:06:02-08:00,available
Free People Jeans 👖,58.0,777.0,Free People Jeans 👖 new Condition great for this time of the year very contrable,2021-04-08T16:38:30-07:00,available
Levi Strauss Gold,65.0,777.0,Levi Strauss signature Gold  new Condition has no size but has a lot of stretch I would say a midsize 7 to  9 around there has four pockets and one small one in the front I just can’t find a size  .,2021-03-24T15:39:46-07:00,available
J Crew pants,59.0,64.0,J Crew Pants 👖 new with tags great for spring are summer,2021-03-05T12:34:55-08:00,available
R.Lauren Jeans,45.0,777.0,R.Lauren Jeans never worn  new Condition nice pair  and they have stretch,2021-09-25T11:14:09-07:00,available
Lucky Brand Jeans,40.0,777.0,Lucky Brand Jeans 👖 great used shape no flaws they stretch and are lite Waite they are in excellent used condition,2021-04-08T11:17:37-07:00,available
Massimo mid rise  jegging,35.0,777.0,Massimo mid rise Jenkins nice used condition they have stretch,2021-07-05T10:57:17-07:00,available
J. crew jeans,60.0,777.0,J crew jeans never worn straight legs   New with out tags,2021-01-19T10:59:00-08:00,available
PAIGE Jeans,65.0,777.0,PAIGE JEANS REALLY NICE USED CONDITION ALL THE Zippes WORK AND THEY STRETCH,2021-06-25T14:34:58-07:00,available
MISS ME JEANS,89.0,777.0,MISS ME JEANS GREAT SHAPE ALL  THE STONES AND  STUDS ARE THERE  SLIM BOOT CUT,2021-03-28T00:38:47-07:00,available
Rock & Republic mens jeans,78.0,777.0,Rock& Republic jeans mens new has button closure  great pair of jeans 40x34 .,2022-12-02T12:41:05-08:00,available
Paige Jeans,58.0,777.0,Paige Jeans excellent used condition has stretch really cute 🥰,2021-09-29T12:36:10-07:00,available
Rag & Bone Jeans,78.0,777.0,Rag & Bone Jeans  like new Condition  only worn a fue times has the flair legs really super cute and they stretch so they are contrable,2021-09-04T12:48:59-07:00,available
Paige Jeans,75.0,777.0,Paige Jeans vertigo ankle new never worn has stretch,2021-03-17T14:50:00-07:00,available
Michael kors pants,55.0,777.0,Michael kors pants 👖 excellent condition used a fue times like new,2021-03-05T12:10:22-08:00,available
Michael kors 👖 pants,65.0,175.0,Michael kors pants new Condition only worn a fue times has zipper on the side and they stretch .,2020-10-15T22:35:31-07:00,available
rag & bone /jeans,99.0,777.0,rag & bone high Rise skinny jeans excellent used condition they  have stretch,2021-02-06T00:45:05-08:00,available
Michael kors  Jeans,57.0,777.0,Michael kors skinny jeans excellent condition only used a fue times like new,2021-01-20T14:15:55-08:00,available
Michael kors jeans,65.0,777.0,Michael kors jeans new  only tryed  on  really cute jeans  and they have stretch  you can wear these summer are winter they go with everything 💋,2021-10-03T13:46:15-07:00,available
rag& bone/ jeans,45.0,777.0,rag & bone/ jeans good used condition they have stretch,2021-05-02T17:49:37-07:00,available
LA   Idol USA  Bermuda shorts,55.0,777.0,LA. Idol shorts great shape used but no rips are tears ore stains really cute,2021-06-02T12:30:32-07:00,available
L.A. Idol USA,75.0,777.0,L.A.Idol Jeans great used condition  has all the stones and studs great shape only used a fue times  thanks for looking,2021-09-29T22:33:01-07:00,available
Rock Revival jeans,75.0,777.0,Rock Revival jeans new used condition they have stretch are really cute all the stones are there  really  Blinky so cute😊👍,2022-01-30T11:05:01-08:00,available
L U P L JEANS,98.0,777.0,LUPLBY LIVERPOOL JEANS  N ew condition never worn  they are super cute  and lots of detail  and they have stretch  four pockets and one small one,2021-09-09T11:39:36-07:00,available
Paige Jeans,65.0,777.0,Paige Jeans nice used condition really contrable they are very good quality,2021-07-12T13:22:59-07:00,available
"Joe,s jeans",78.0,777.0,"Joe,s jeans  new never worn  they are high rise  so cute and really contrable they also have the skinny ankle very  flattering",2021-09-04T13:07:08-07:00,available
Loft pants 👖,65.0,777.0,Loft pants new without tags beautiful color they have stretch never worn.,2021-03-05T12:18:28-08:00,available
Rock Revival jeans,63.0,777.0,Rock Revival jeans new condition never worn,2020-09-11T13:39:33-07:00,available
Paige Jeans,149.0,777.0,Paige Jeans new never worn  boyfriend skinny great detail  never tryed on  great pair of jeans  wear any time of the year .,2023-02-06T11:36:15-08:00,available
LAidol USA jeans 👖,75.0,777.0,LAidol USA  jeans Never Used has beautiful design,2021-02-19T12:39:41-08:00,available
L.A.Idol Jeans,65.0,777.0,L.A.Idol Jeans great used condition these are super cute and contrable,2021-09-29T22:49:37-07:00,available
Bebe Jeans,49.0,777.0,Bebe Jeans like new they stretch excellent condition,2020-10-15T22:58:59-07:00,available
DONALD J  PLINER  SANDLES,75.0,777.0,DONALD J PALINER SANDLES new never used,2021-04-08T15:56:03-07:00,available
citizen Watch,125.0,777.0,Citizen watch never used new I will put a Battery before I ship it great watch comes with Box and two extra links💋,2022-06-10T00:50:15-07:00,available
PEUGEOT BRACELET WATCH,60.0,777.0,PEUGEOT BRACELET WATCH NEW COMES WITH Original box works great has new battery,2021-06-13T12:22:34-07:00,available
PEUGEOT  WATCH,150.0,777.0,PEUGEOT WATCH  NEW NEVER USED HAS DIFFERENT  STONES TO CHANGE THE LOOK OF YOUR WATCH ITS REALLY BEAUTIFUL  COMES WITH EVERYTHING YOU SEE IN THIS PICTURE  ❤️,2022-04-07T11:43:09-07:00,available
Vivienne little black dress new,50.0,999.0,This dress is very sheer on the top and sleeves it’s very dressy and sexy❤️,2020-03-08T16:54:30-07:00,available
Jennifer Lopez shorts,55.0,777.0,Jenner Lopez sequin shorts really cute new condition never worn .,2021-05-19T13:30:20-07:00,available
GRUEN WATCH WITH BRACELET,73.0,777.0,GRUEN Watch with Bracelet  extra links   Gold and silver color  life time warranty really nice ther crystals around the face new comes with battery,2022-04-20T18:36:41-07:00,available
Rolex Mickey Mouse  Watch,15000.0,20000.0,Beautiful vintage  Rare Rolex Watch only made a fue of these they gave a fue out to there workers for gifts,2023-02-26T12:09:46-08:00,not_for_sale
Hobo wallet,60.0,88.0,Hobo wallet never used has a lot of compartment for your cards and a zipper for your change comes with dust bag it has some rubbing on the back and a little on the front  but it’s a older wallet it’s been in my closet for sometime now   Thanks for looking 👀,2023-04-20T11:09:37-07:00,not_for_sale
Jade Earrings,195.0,777.0,Jade Earrings Beautiful Earrings comes from polar mountain of Alaska vintage,2022-06-24T11:54:26-07:00,available
Rolex Wallet,250.0,777.0,Rolex Wallet  nice condition just one little scuff on the back witch is not noticeable great used condition has coin compartment place for your money 💰 three compartment for your cards 💳 Beautiful wallet ❤️,2022-02-13T10:23:08-08:00,available
Bebe Bag,175.0,777.0,Bebe crossbody Bag new never used has three compartments plus zipper in the back snap closure  Beautiful jewelry work this is Gorgeous❤️,2022-10-01T22:50:23-07:00,available
ASHRO  WIG,178.0,777.0,ASHRO braided wig Beautiful  on has different colors of brown and red I would say like an hombre very beautiful and stylish has lace front  and adjustable straps plus combs. This wig is new never used synthetic hair lots of details to this piece👍,2022-11-13T12:30:33-08:00,available
Betsy Johnson ring,40.0,50.0,"Reposhing this item I purchased from @sarah_convery. Loved it, but ready to rotate for something new.

Questions? Leave a comment below!",2021-08-23T00:24:06-07:00,available
Authentic  Diamonds,199.0,777.0,These diamonds came out of a ring that I had  these are great Quality there are 13 of them they are about 1or two points each they can be set into a piece of jewelry that you may have thanks for looking,2021-12-11T13:51:39-08:00,available
Marc By Marc Jacobs wallet,45.0,777.0,Marc By Marc Jacobs wallet good used condition has zipper all around the wallet 6card slots place for your coins  and a strap to carry it ❤️,2022-05-19T13:18:41-07:00,available
Kate spade wallet,49.0,777.0,Kate spade wallet has four compartment a zipper compartment for coins  key ring really nice new,2021-08-26T22:38:44-07:00,available
Victoria Wieck watch,45.0,777.0,Victoria wieck leather watch new  it  comes with battery it has rhinestones all around the face and also on the clasp Very beautiful,2021-06-23T23:35:49-07:00,available
Vintage Van Dell Cameo Earrings & Necklace,200.0,777.0,"This is a beautiful set of Van Dell earrings and matching necklace. 12k gold. Carved shell. Screw backs. Missing the pin on the necklace. No markings on the necklace (was on the pin). 
Marking on the earrings is: 1/20 12k GF and I also have a matching brooch to go with this that I didn’t show .",2022-06-11T13:12:39-07:00,available
Coach Bracelet,65.0,150.0,"Reposhing this item I purchased from @natosharyan. Loved it, but ready to rotate for something new.

Questions? Leave a comment below",2021-08-26T14:08:47-07:00,available
"Marylyn, Monroe Thai",25.0,777.0,"Merlin Monroe, Ty, good condition very cute and unique a man or a woman could wear this",2023-03-23T08:16:30-07:00,available
Geneva watch,35.0,777.0,watch new has Battery nice soft rubber band very contrable has crystals around the face of the watch Very cute and keeps great time . Geneva.  😊,2023-03-22T08:19:26-07:00,available
Bebe Dress,45.0,0.0,Never worn Bebe dress it’s really nice in new condition and cute has spandex great for the spring the front is higher then the back .,2020-03-01T11:24:43-08:00,available
BEBE DRESS,75.0,777.0,Beautiful BEBE DRESS 👗  PRETTY COLOR  NEVER WORN,2022-04-30T21:22:41-07:00,available
Marvel tee shirt,125.0,777.0,Marvel tee shirt  has all the great comic book collections all over the shirt the front has really pretty shiny sequence on it and the back is plain very cute and different only used one timethis shirt is about ten years old  and looks new.,2022-12-28T22:24:06-08:00,available
BamBoo  Bag,55.0,777.0,BamBoo Bag new has place for your phone and a side zipper that will hold you necessities really nice bead work and supper cool,2021-12-10T12:24:16-08:00,available
Clip on bangs hairpiece this is really nice but it does not fit my head,89.0,300.0,"Reposhing this item I purchased from @bella123123123. Loved it, but ready to rotate for something new.

Questions? Leave a comment below! You can also pull your own hair thru the top of the hair piece  has clips also nice hair piece 😊",2023-03-10T09:57:47-08:00,available
VENUS TEE SHIRT,35.0,85.0,VENUS TEE  NEW  NEVER USED HAS A LOT OF DETAIL HAS rhinestones AND LACE😍🇺🇸,2020-07-17T13:56:00-07:00,available
Disney parks tee shirt,30.0,777.0,Disney parks shirt really cute Mickey and Minnie Donald and Daisy  never worn 😘,2022-12-27T07:47:08-08:00,available
Swny Taylor Blouse 👚,65.0,777.0,Swny Taylor Blouse new without tags very sheer beautiful design  great for summer.,2021-05-28T10:52:27-07:00,available
Canvas Tee Shirt,27.0,777.0,Canvas Tee Shirt lite Waite good used condition I have never wore this so cute,2021-08-29T15:02:28-07:00,available
Free People Jeans,75.0,777.0,Free People Jeans new never worn really nice,2021-09-22T13:49:56-07:00,available
Calvin Klein top,35.0,0.0,Calvin Klein Top New Fits up to Large,2020-07-22T11:18:36-07:00,available
Banana Republic Blouse,49.0,777.0,Banana Republic Blouse new never worn  beautiful color,2021-02-25T14:49:05-08:00,available
TOMMY HILFIGER TEE,25.0,777.0,TOMMY TEE SHIRT NEW NEVER WORN,2020-07-15T12:38:07-07:00,available
LAUREN RALFH LAURN BLOUSE,20.0,0.0,Nice for spring wear with jeans or pants,2020-04-02T19:15:52-07:00,available
American Eagle 🦅 Skirt,20.0,777.0,American Eagle 🦅 Sky Good 👍 Used Condition Really Cute,2021-10-08T22:07:45-07:00,available
B.Darling Dress,40.0,0.0,B.Darling Dress  New Condition,2020-07-22T11:28:40-07:00,available
SUNNY LEIGH DRESS,65.0,200.0,SUNNY LEIGH BEAUTIFUL DRESS NEW REALLY Comfortable AND SHEER,2020-07-07T23:05:00-07:00,available
Sunny Leigh Dress,55.0,777.0,Sunny Leigh Dress New Condition Very Sheer Great For Summer  I Have Never Used 💋,2020-07-14T20:11:34-07:00,available
PARIS DUSTER,70.0,777.0,Beautiful to wear with Dress are jeans  the colors are like a peacock never worn,2022-04-30T21:42:16-07:00,available
Niche beautiful dress like new,65.0,200.0,Beautiful niche dress has turquoise design on the front and silk belt has been put away like new it says med but it will fit a small exelent condition ❤️,2020-03-04T23:36:54-08:00,available
Aventurg Dress,55.0,0.0,This is a nice dress and comfortable and in excellent condition good for spring,2020-03-16T10:48:30-07:00,available
ModX Dress,60.0,777.0,This dress is ready for spring beautiful colors so light on your body you will get a lot of stairs were in days like new never been worn,2020-03-29T11:00:19-07:00,available
Max Studio Dress,65.0,777.0,max Studio Dress  new Condition,2020-09-07T13:54:33-07:00,available
Michael kors Boots,119.0,777.0,Michael kors Boots new condition only worn once great shape  they will go with anything  really nice 👍,2022-09-27T20:02:12-07:00,available
American Eagle Shoes 👞,60.0,777.0,American Eagle Shoes New never worn really cute they will go with any thing,2021-11-18T15:43:28-08:00,available
Michael kors lite wait jacket,49.0,777.0,Really nice Michael Kors light weight jacket it is missing the belt but otherwise in great condition so comfortable,2020-03-29T10:40:20-07:00,available
Vintage Fur Cape,65.0,0.0,Vintage fur Cape excellent condition I don’t know what kind of Fur it is because it doesn’t say all I know that this is real ❤️,2020-05-10T14:16:01-07:00,available
Riders Levi jacket,35.0,0.0,Riders Levi jacket new condition no tag excellent shape like new❤️,2020-04-21T06:54:13-07:00,available
Express coat,69.0,777.0,Express coat new never worn very lite Waite really nice,2021-08-23T21:47:32-07:00,available
FOREVER 21 Jeans JACKET,62.0,777.0,Forever 21 Jeans Jacket beautiful condition and art Work  I have had this for a while but haven’t worn it  this is a unique jacket.,2021-02-25T22:01:56-08:00,available
SIONI  JACKET,55.0,777.0,SIONI   FAUX FUR JACKET REALLY SOFT  VERY LITE AND CUTE  HAS POCKETS IN THE FRONT PRETTY PINK,2021-08-04T14:43:43-07:00,available
Jacket,65.0,0.0,Wet seal beautiful jacket nice design new,2020-03-01T13:00:03-08:00,available
London jean jacket,75.0,777.0,London jean jacket new Condition  has a nice lining it’s warm and has stretch it’s so cute 🥰,2021-09-15T22:04:20-07:00,available
Beautiful pull over hoodie never worn   Gap,22.0,0.0,Gap Pull over hoodie I have never worn it just been in my closet ready for a new home excellent new condition,2020-04-20T13:12:42-07:00,available
Bebop & Wally jacket,35.0,0.0,Beautiful jacket like new condition has blue Ribbon for the ties.great for this time of the year casual or dresse.,2020-02-29T20:31:52-08:00,available
Christine Alexander jacket,65.0,777.0,Christine Alexander jacket with studs and rhinestones never worn you can dress up are dress down with this beautiful jacket has rhinestones on the pockets and also on the buttons thanks for looking,2020-09-25T11:55:54-07:00,available
579 Levi jacket,25.0,0.0,like new 57 and nine Levi jacket acid wash in new condition it hasn’t been worn excellent shape very comfortable and stretchy🌹,2020-04-22T08:27:27-07:00,available
Disney grey mini jacket,39.0,0.0,"Reposhing this item I purchased from @fizznick70. Loved it, but ready to rotate for something new.

Questions? Leave a comment below!",2021-10-16T17:08:15-07:00,available
A.M.I. Jacket,40.0,0.0,A.M.I. Levi Jacket excellent condition like new only worn a few times great for any time of the year,2020-05-20T12:31:30-07:00,available
Vertigo jacket,55.0,0.0,Never been worn like new wear with jeans are dress eye catcher .,2020-02-29T20:58:57-08:00,available
Gorgeous Sexy Vegan Leopard Fur Coat,88.0,777.0,"Reposhing this item I purchased from @frankie1971. Loved it, but ready to rotate for something new.

Questions? Leave a comment below!",2021-11-17T21:20:27-08:00,available
Ball of cotton sweater,49.0,777.0,Ball of cotton pullover sweater has velvet trim on sleeves and on hoodie really cute and contrable,2020-10-24T18:20:04-07:00,available
Free People cardigan,49.0,777.0,Free People cardigan really soft and comfortable good used condition very nice and warm,2021-02-08T10:37:34-08:00,available
Hart Schaffer & Marx  mens jacket,299.0,400.0,Hart Schaffer & Marx   Jacket vintage new never worn came from the ZCM I  witch hasn’t been around for years Beautiful jacket a man or woman can wear this   This is for large to extra large it’s on the tag thanks for looking .🎅,2022-11-02T12:42:35-07:00,available
Gap Jacket,45.0,777.0,Gap Jacket like new worn a fue Times excellent condition,2020-05-10T15:19:18-07:00,available
HARLEY DAVIDSON LEATHER JACKET🎆🎆🎆🎆,375.0,777.0,HARLEY DAVIDSON LEATHER JACKET  NEW  CONDITION HAS ONE INSIDE POCKET LARGE QUILTED LINNING  TWO POCKETS THAT HAS ZIPPERS AND ZIPPERS ONE THE SLEEVES PLUSS FRINGE BEAUTIFUL JACKET NEW CONDITION WILL KEEP YOU WARM💕💕💕💕💕💕💕💕,2020-12-05T22:10:22-08:00,available
Mishca jacket,65.0,777.0,Mishca jacket really cute great for fall new Condition never worn still has tag ❤️,2020-10-11T21:37:46-07:00,available
Christine Alexander sweater,85.0,777.0,Christine Alexander Beautiful sweater has rinestones on the sleeves and hoodie  never been worn 😊🎁,2022-10-20T23:18:10-07:00,available
Vintage mink coat,599.0,2000.0,Vintage mink and Leather Coat  small to midsize excellent condition no rips the mink is beautiful soft leather has pockets it is a chevron style the lineing feels like satin.,2020-09-15T21:29:02-07:00,available
LEATHER JACKET,375.0,777.0,Vintage leather jacket great shape no rips or stains Leather is in excellent shape  it’s just been hanging in my closet it may need a cleaning but it’s fine the way it is  love all the fringes 🔥🔥,2022-08-11T23:45:29-07:00,available
Michael kors coat,125.0,777.0,Michael kors lite Waite coat  new never worn  Beautiful color like a lime green has beautiful linen snap closure and the hoodie can be removed  really comfortable to wear great find wear any time of the year .❤️👍,2023-02-06T10:53:17-08:00,available
Michael kors  jacket,55.0,777.0,Michael kors jacket only used once new Condition I love the color and the gold zipper,2021-10-12T20:28:45-07:00,available
AMERICAN EAGLE 🦅 JACKET,75.0,777.0,AMERICAN EAGLE 🦅 OUTFITTERS JACKET NEW  NEVER WORN BEAUTIFUL PLAID COLOR NICE AND WARM Jacket,2020-12-11T08:16:55-08:00,available
Free People jump suit,98.0,777.0,Free People jump suit really cute 🥰 the zipper is on the side and it has the flair legs 🦵 never been worn great for the summer .👍,2023-04-19T23:49:35-07:00,available
Versace trench coat authentic new,800.0,5000.0,"Versace New Coat never worn still has tags on it 5,000 new  Beautiful and Authentic very lite  Waite so comfortable to wear great for any time of the year❤️❤️❤️❤️❤️❤️",2021-10-08T18:41:37-07:00,available
Sam Edelman trench Coat,98.0,777.0,Sam Edelman Designers trench Coat Beautiful lots  of details Brand new without tags really a nice color for any time of the year fully lined .😊,2020-08-19T12:17:18-07:00,available
Lucky ☮️ tee shirt,20.0,0.0,Nice T-shirt I’ll hand stitch very good condition nice for spring or summer☮️,2020-03-21T18:27:38-07:00,available
Isabel Flory boots,180.0,777.0,Isabel Flory boots good used condition is very unique made in Italy really a eyecatcher they are easy to put on has zipper on the  side about a four inc heal  really cute but made well  .,2023-03-16T12:49:59-07:00,available
Dr. Martens Boots,175.0,777.0,Dr. Martens Air Wair  Boots with Bouncing  soles  new never worn  they run small I wear a eight  and they fit smug so I would say about a seven to a seven and one half to make sure and in kids about a six  👍,2022-06-16T11:02:29-07:00,available
Donald j plainer  shoes,35.0,777.0,Donald J PLinerLeather shoes really comfortable,2021-08-15T14:55:17-07:00,available
Vince camuto shoes,75.0,777.0,Vince camuto  shoes leather  Beautiful shoes only worn once  they were to high for me but very nice looking,2021-04-14T16:13:47-07:00,available
Timberland 🥾 Boots,110.0,777.0,Timberland Suede and leather trim boots great condition just tried them on  new  really Contrable  and cute,2021-07-28T13:06:59-07:00,available
Double -H  Shoes,125.0,777.0,Double- H Leather Shoes New Never Worn Beautiful Design  Hand Made In Mexico Really Contrable,2021-08-29T19:54:14-07:00,available
Rag & Bone Boots,95.0,777.0,Rag & Bone Boots good used condition all Leather  very contrable 👍,2022-08-17T10:49:55-07:00,available
B MAKOWSKY SHOES,90.0,777.0,B MAKOWSKY SHOES NEW WITH OUT TAGS  LEaTHER WITH STUDS,2021-03-17T23:49:52-07:00,available
Michael Kors bracelet watch,59.0,777.0,Michael Kors bracelet watch new really nice gold tone Don’t have the Box but will send package nice  thanks for looking,2021-06-14T00:32:18-07:00,available
ITALIAN SHOE MAKERS SANDELS,49.0,777.0,ITALIAN SHOE MAKERS  NEW  m a d e iN  ITALY,2021-06-25T15:10:17-07:00,available
Madewell  👞 shoes,85.0,777.0,Madewell  shoes new never worn Real calf fur  really good pair of shoes,2021-08-18T20:53:41-07:00,available
Vince Comodo suede leather shoes,65.0,777.0,Vans Comodo suede leather shoes very nice condition only used a few times Siri comfortable,2021-08-04T12:34:59-07:00,available
